,Department /Ministry,Fund allotted(in â‚¹crores)
0,MINISTRY OF AGRICULTURE,131531.19
1,DEPARTMENT OF ATOMIC ENERGY,18264.89
2,"MINISTRY OF AYURVEDA, YOGA",2970.3
3,MINISTRY OF CHEMICALS AND FERTILISER,80714.94
4,MINISTRY OF CIVIL AVIATION,3224.67
5,MINISTRY OF COAL,534.88
6,MINISTRY OF COMMERCE AND INDUSTRY,12768.25
7,MINISTRY OF COMMUNICATION,75265.22
8,MINISTRY OF CONSUMER AFFAIRS,256948.4
9,MINISTRY OF CORPORATE AFFAIRS,712.13
10,MINISTRY OF CULTURE,2687.99
11,MINISTRY OF DEFENCE,478195.62
12,MINISTRY OF DEVELOPMENT OF NORTH EASTERN REGION,2658.0
13,MINISTRY OF EARTH SCIENCES,1897.13
14,MINISTRY OF EDUCATION,93224.31
15,MINISTRY OF ELECTRONICS AND INFORMATION TECHNOLOGY,9720.66
16,"MINISTRY OF ENVIRONMENT, FOREST",2869.93
17,MINISTRY OF EXTERNAL AFFAIRS,18154.73
18,MINISTRY OF FINANCE,1386273.3
19,"MINISTRY OF FISHERIES, ANIMAL HUSBANDRY",4322.82
20,MINISTRY OF FOOD PROCESSING INDUSTRIES,1308.66
21,MINISTRY OF HEALTH AND FAMILY WELFARE,73931.77
22,MINISTRY OF HEAVY INDUSTRIES,1017.08
23,MINISTRY OF HOME AFFAIRS,166546.94
24,MINISTRY OF HOUSING AND URBAN AFFAIRS,54581.0
25,MINISTRY OF INFORMATION AND BROADCASTING,4071.23
26,MINISTRY OF JAL SHAKTI,69053.02
27,MINISTRY OF LABOUR AND EMPLOYMENT,13306.5
28,MINISTRY OF LAW AND JUSTICE,3229.94
29,"MINISTRY OF MICRO, SMALL AND MEDIUM ENTERPRISES",15699.65
30,MINISTRY OF MINES,1466.82
31,MINISTRY OF MINORITY AFFAIR,4810.77
32,MINISTRY OF NEW AND RENEWABLE ENERGY,5753.0
33,MINISTRY OF PANCHAYATI RAJ,913.43
34,MINISTRY OF PARLIAMENTARY AFFAIRS,65.07
35,"MINISTRY OF PERSONNEL, PUBLIC GRIEVANCES",2097.24
36,MINISTRY OF PETROLEUM AND NATURAL GAS,15943.78
37,MINISTRY OF PLANNING,1062.77
38,"MINISTRY OF PORTS, SHIPPING",1702.35
39,MINISTRY OF POWER,15322.0
40,"THE PRESIDENT, PARLIAMENT, UNION PUBLIC SERVICE COMMISSION",1687.57
41,MINISTRY OF RAILWAYS,110054.64
42,MINISTRY OF ROAD TRANSPORT AND HIGHWAY,118101.0
43,MINISTRY OF RURAL DEVELOPMENT,133689.5
44,MINISTRY OF SCIENCE AND TECHNOLOGY,14794.03
45,MINISTRY OF SKILL DEVELOPMENT,2785.23
46,MINISTRY OF SOCIAL JUSTICE AND EMPOWERMENT,11689.39
47,DEPARMENT OF SPACE,13949.09
48,MINISTRY OF STATISTICS,1409.13
49,MINISTRY OF STEEL,39.25
50,MINISTRY OF TEXTILES,3631.64
51,MINISTRY OF TOURISM,2026.77
52,MINISTRY OF TRIBAL AFFAIRS,7524.87
53,MINISTRY OF WOMEN AND CHILD DEVELOPMENT,24435.0
54,MINISTRY OF YOUTH AFFAIRS AND SPORTS,2596.14
55,,
56,GRAND TOTAL,3483235.63
